run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
SRR10245277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/077/SRR10245277/SRR10245277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/077/SRR10245277/SRR10245277_2.fastq.gz	47927737;59974757	62d41d5925b619a6123a6fa54dfacafc;c45b543b9d34138210871422691ccd63									
SRR10245280	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/080/SRR10245280/SRR10245280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/080/SRR10245280/SRR10245280_2.fastq.gz	42616860;50514461	6101c6626365de42b8c5dc86d980d094;5703a29c838130d6105f26cfd0960a83									
SRR10245287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/087/SRR10245287/SRR10245287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/087/SRR10245287/SRR10245287_2.fastq.gz	43394504;55421347	363ba64033c546ecb2757fbfc0b70855;1804c40c87c7d5ead316f9c07ac9d70c									
SRR10245288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/088/SRR10245288/SRR10245288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/088/SRR10245288/SRR10245288_2.fastq.gz	35955665;44463858	f011143d1b5f2b9007cb19d6aa7c661c;97c493b7bee40681576149ff9f680b3b									
SRR10245289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/089/SRR10245289/SRR10245289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/089/SRR10245289/SRR10245289_2.fastq.gz	30013924;41339899	3fb654ba9a9e276e0633b4568ae96a1a;015b6f4c911dcc9b8ca02df190ef4b16									
SRR10245293	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/093/SRR10245293/SRR10245293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/093/SRR10245293/SRR10245293_2.fastq.gz	47469462;77447171	9c57087de8a4c4e0af29eef0d72e00e6;0a0573f3665a0dd9d41d798fb5cab2c2									
SRR10245298	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/098/SRR10245298/SRR10245298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/098/SRR10245298/SRR10245298_2.fastq.gz	31906205;35304859	087a7868041bbae4ea52d9cd3c0e1cd0;14a9e0ea4517c0a8779d26a520d48d7a									
SRR10245310	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/010/SRR10245310/SRR10245310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/010/SRR10245310/SRR10245310_2.fastq.gz	18882257;22551087	0d7ac1c3359f5f4a235ed8b0c68965f4;22d6ee8bfa5a3d2302d5c2916d59786a									
SRR10245318	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/018/SRR10245318/SRR10245318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/018/SRR10245318/SRR10245318_2.fastq.gz	10182857;11749195	f8a8f905cb09a8f86dcb40ed7e3419b0;107bc748c1b134a2bc132894f5a499a9									
SRR10245320	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/020/SRR10245320/SRR10245320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/020/SRR10245320/SRR10245320_2.fastq.gz	24123309;31531415	1c4bae6485c130e79cd539546adbed86;a4bc04dfca3346d0e9bb574ea06f62a7									
SRR10245321	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/021/SRR10245321/SRR10245321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/021/SRR10245321/SRR10245321_2.fastq.gz	27730158;55230877	391edcbed36e6a459a0c0b1d005fde2c;ec3ccb46c8ac2413921acf955f58ff28									
SRR10245329	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/029/SRR10245329/SRR10245329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/029/SRR10245329/SRR10245329_2.fastq.gz	43132322;55884586	7c11bb1f4d93b4ad805af98217a75399;ef5a8909111fe507493420e256163909									
SRR10245330	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/030/SRR10245330/SRR10245330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/030/SRR10245330/SRR10245330_2.fastq.gz	71465615;84739138	78c1c0575c378efff2e7228b0130e6b1;e203305282df20dd29601d3fd45e1e9b									
SRR10245333	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/033/SRR10245333/SRR10245333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/033/SRR10245333/SRR10245333_2.fastq.gz	27224759;31019835	fe7ae7ba139b80a0aed7fd50cd4a8401;a93e8897aa1802f923e46624e4ce28ce									
SRR10245339	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/039/SRR10245339/SRR10245339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/039/SRR10245339/SRR10245339_2.fastq.gz	30140019;61441497	5e325c1b07ee2b9d4c690bd2cbdb3340;7895c3aeaaa0961b483a1413f8f2f51f									
